TP;FP;FN;FP;
2264;0;45438;0;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\000_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1449;815;1026;44412;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\001_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1618;646;999;44439;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\002_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1797;467;411;45027;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\003_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1917;347;233;45205;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\004_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1991;273;160;45278;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\005_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1981;283;68;45370;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\007_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2010;254;82;45356;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\008_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2007;257;33;45405;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\009_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2013;251;66;45372;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\010_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2008;256;26;45412;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\011_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2020;244;67;45371;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\012_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2031;233;42;45396;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\013_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2038;226;36;45402;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\014_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2038;226;26;45412;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\015_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2052;212;42;45396;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\016_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2052;212;34;45404;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\017_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2062;202;32;45406;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\018_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2070;194;74;45364;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\019_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2096;168;29;45409;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\020_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2077;187;39;45399;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\021_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2080;184;32;45406;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\022_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2124;140;68;45370;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\023_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2128;136;63;45375;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\024_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2131;133;70;45368;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\025_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2144;120;28;45410;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\026_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2154;110;41;45397;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\027_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2156;108;57;45381;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\028_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2125;139;44;45394;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\029_epoch_R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
2149;115;19;45419;data\trainings_results\models\R6_evaluate_fux_rules_from_two_sides_rule_targets\R6_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
